Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (°C),Season,Household Size
328,Heater,1.427,07:47,2024-02-22,11.3,Winter,1
457,Washing Machine,0.266,00:32,2024-02-08,14.7,Winter,5
309,Air Conditioning,0.656,18:51,2024-03-25,23.1,Spring,1
82,Heater,0.03,10:06,2024-05-13,30.6,Summer,4
184,Microwave,0.053,17:35,2024-04-03,40.4,Summer,3
151,Washing Machine,0.203,02:18,2024-06-25,31.3,Summer,5
41,Oven,1.924,20:23,2024-01-06,11.4,Winter,2
182,Lights,0.435,20:10,2024-06-21,43.9,Summer,2
274,Computer,0.143,20:43,2024-03-08,25.3,Spring,2
167,Heater,0.03,12:58,2024-03-07,31.3,Spring,1
483,TV,0.066,12:16,2024-04-05,39.1,Summer,5
72,Oven,0.286,18:08,2024-06-08,37.9,Summer,2
261,Fridge,0.238,04:43,2024-12-26,24.8,Winter,4
217,Dishwasher,0.841,14:55,2024-01-18,13.8,Winter,5
483,Oven,1.263,08:18,2024-02-04,25.4,Winter,1
223,Computer,0.037,23:11,2024-07-25,33.4,Fall,2
260,Oven,0.345,06:10,2024-06-25,36.6,Summer,1
277,Oven,0.265,00:51,2024-02-27,12.5,Winter,5
158,TV,0.047,02:04,2024-12-27,25.2,Winter,2
390,Dishwasher,0.287,17:55,2024-03-17,29.2,Spring,5
311,Oven,2.164,12:57,2024-03-15,30.0,Spring,4
265,Lights,0.079,10:14,2024-12-18,10.2,Winter,4
302,Heater,0.03,01:55,2024-12-02,21.3,Winter,2
170,Fridge,0.282,06:59,2024-03-24,29.4,Spring,1
452,Heater,0.038,13:42,2024-08-04,31.4,Fall,5
221,Heater,0.032,23:25,2024-10-02,27.6,Fall,3
373,Fridge,0.165,17:11,2024-12-14,9.4,Winter,3
143,Air Conditioning,1.252,17:34,2024-03-21,26.2,Spring,4
429,Washing Machine,0.646,15:25,2024-12-28,8.8,Winter,1
463,TV,0.053,12:27,2024-03-10,20.0,Spring,1
357,Lights,0.346,06:34,2024-08-24,24.3,Fall,5
32,Computer,0.302,16:03,2024-12-06,18.4,Winter,3
492,Washing Machine,0.599,02:07,2024-12-13,6.6,Winter,5
483,Lights,0.061,13:33,2024-03-19,28.7,Spring,5
162,Dishwasher,0.442,12:20,2024-03-15,23.3,Spring,3
476,Heater,0.061,18:13,2024-01-18,19.3,Winter,1
260,Dishwasher,0.274,07:28,2024-03-06,32.3,Spring,3
427,Air Conditioning,5.119,20:52,2024-06-22,44.7,Summer,5
284,Computer,0.034,03:17,2024-12-05,11.1,Winter,3
145,Dishwasher,1.248,20:31,2024-03-17,22.9,Spring,5
129,Air Conditioning,0.1,08:49,2024-02-11,14.7,Winter,1
67,Air Conditioning,1.765,13:04,2024-03-04,27.7,Spring,3
484,Fridge,0.189,04:19,2024-01-02,18.4,Winter,2
187,Oven,1.714,21:35,2024-04-25,39.6,Summer,1
453,Air Conditioning,1.702,05:47,2024-03-06,32.1,Spring,4
474,Microwave,0.06,22:02,2024-08-28,25.2,Fall,3
440,Dishwasher,0.946,14:50,2024-03-27,31.4,Spring,4
447,Dishwasher,0.275,12:04,2024-03-28,29.2,Spring,2
496,Computer,0.099,21:01,2024-06-11,36.7,Summer,3
60,Oven,2.251,19:50,2024-03-24,20.5,Spring,3
161,Air Conditioning,0.297,06:27,2024-01-23,25.7,Winter,4
1,Lights,0.409,21:42,2024-03-11,26.0,Spring,5
435,Microwave,0.263,13:18,2024-06-23,33.3,Summer,1
284,Fridge,0.26,12:36,2024-03-20,29.3,Spring,2
155,Lights,0.074,13:41,2024-01-20,11.6,Winter,4
165,Fridge,0.299,16:05,2024-10-22,30.1,Fall,4
146,Dishwasher,0.354,07:51,2024-04-08,41.9,Summer,5
102,Heater,0.676,15:26,2024-12-15,10.6,Winter,2
454,Air Conditioning,1.057,07:55,2024-03-25,26.9,Spring,5
395,TV,0.305,22:35,2024-08-02,24.1,Fall,1
128,Computer,0.163,21:20,2024-08-20,31.6,Fall,1
487,TV,0.057,05:16,2024-11-15,27.4,Fall,4
385,TV,0.1,07:45,2024-06-03,36.2,Summer,2
147,Fridge,0.262,17:14,2024-05-05,33.4,Summer,2
197,TV,0.062,10:03,2024-03-14,25.8,Spring,2
106,Lights,0.288,00:30,2024-11-13,33.4,Fall,4
4,Computer,0.351,13:38,2024-05-26,42.5,Summer,3
460,Microwave,0.094,15:42,2024-08-11,25.3,Fall,2
348,Air Conditioning,2.825,19:37,2024-03-13,32.9,Spring,4
289,Air Conditioning,0.162,14:24,2024-02-09,14.9,Winter,1
168,Microwave,0.277,12:53,2024-09-09,26.1,Fall,2
42,Heater,0.565,11:41,2024-02-25,17.4,Winter,4
21,Washing Machine,0.388,19:30,2024-03-05,31.7,Spring,1
343,Lights,0.085,11:47,2024-03-20,29.8,Spring,1
368,Lights,0.209,00:58,2024-03-22,21.5,Spring,1
491,Washing Machine,0.665,22:44,2024-08-04,22.9,Fall,4
396,Microwave,0.065,11:23,2024-02-22,23.0,Winter,3
36,Microwave,0.061,15:40,2024-04-12,42.4,Summer,5
457,Dishwasher,0.252,16:51,2024-03-20,22.5,Spring,4
471,Dishwasher,0.259,23:54,2024-10-11,27.2,Fall,5
126,Lights,0.054,14:24,2024-05-22,32.1,Summer,1
173,Dishwasher,0.331,06:17,2024-09-11,24.2,Fall,1
451,Washing Machine,0.957,06:26,2024-06-24,28.2,Summer,5
251,Air Conditioning,1.714,15:18,2024-03-03,29.0,Spring,5
114,Computer,0.329,11:22,2024-03-17,29.3,Spring,4
218,Dishwasher,0.979,08:07,2024-05-08,39.9,Summer,5
370,Washing Machine,0.226,22:47,2024-04-07,40.6,Summer,2
